order_id,customer_id,order_status_id,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
53cdb2fc8bc7dce0b6741e2150273451a,b0830fb4747a6c6d20dea0b8c802d7ef,1,2018-08-24 20:41:37,2018-08-26 03:24:27,2018-08-26 14:31:00,2018-09-07 15:27:45,2018-09-13
5ff96c15d0b717ac6ad1f3d77225a350a,19402a48fe860416adf93348aba37740,1,2018-08-25 17:44:10,2018-08-25 17:55:14,2018-08-26 13:16:00,2018-08-30 15:52:25,2018-09-08
b276e4f8c0fb86bd82fce576f21713e0a,cf8ffeddf027932e51e4eae73b384059,1,2018-08-29 23:34:51,2018-08-29 23:45:15,2018-08-30 14:43:00,2018-08-31 22:48:50,2018-09-06
5820a1100976432c7968a52da59e9364a,2b56e94c2f66f2d97cfa63356f69cee8,1,2018-08-29 11:24:17,2018-08-29 11:44:19,2018-08-30 13:47:00,2018-09-02 22:09:11,2018-09-13
9faeb9b2746b9d7526aef5acb08e2aa0a,79183cd650e2bb0d475b0067d45946ac,1,2018-08-26 14:39:59,2018-08-26 14:55:10,2018-08-27 12:04:00,2018-08-31 22:26:55,2018-09-16
fdf128b3630c21adc9ca4fb8a51b68eca,a9d37ddc8ba4d9f6dbac7d8ec378cc95,1,2018-08-15 08:33:19,2018-08-16 14:31:10,2018-08-17 15:33:00,2018-08-24 16:41:18,2018-09-02
bd4bd0194d6d29f83b8557d4b89b572aa,636e15840ab051faa13d3f781b6e4233,1,2018-08-28 16:52:55,2018-08-31 03:50:24,2018-09-01 16:01:00,2018-09-06 18:44:46,2018-09-08
a5474c0071dd5d1074e12d417078bbd0a,ef15b3240b2083e0487762ee2978d2b8,1,2018-08-30 22:41:44,2018-09-01 02:50:15,2018-09-02 10:35:00,2018-09-03 19:28:47,2018-09-02
c75acba615d2db29345327974641467da,2b47ff70d422cc3ada976dea40f48782,1,2018-08-06 23:36:15,2018-08-07 10:10:09,2018-08-10 14:25:00,2018-08-13 17:18:42,2018-09-10
65312c6e4ce03c0fb633a4ac541949d8a,228da462edabbbc68e6d265087499705,1,2018-08-22 15:19:05,2018-08-23 12:32:22,2018-08-25 10:06:00,2018-09-02 21:08:57,2018-09-13
89165e6d4c28047da0adf13ac8b3e1b3a,4924a47e8cd5630b3564e26fac55c5ec,1,2018-08-18 13:39:54,2018-08-18 13:50:14,2018-08-24 14:14:00,2018-08-26 18:26:37,2018-08-30
f4471dae8c482f51aa1826cd9f5d4433a,167b9485947ed0a354a3f8dad04eb199,1,2018-08-05 18:40:47,2018-08-05 18:55:15,2018-08-10 15:10:00,2018-08-11 21:16:47,2018-08-19
5c2d1d55c31db1cbe069dc9b6454b897a,15bea20cd005ed59d34db54c6b32ec98,1,2018-08-23 18:27:07,2018-08-24 10:32:48,2018-08-25 14:10:00,2018-09-01 19:31:47,2018-09-10
cefa8ee1540139ac77fa0c1b4ff1f04ba,3b9388d1014c8090f77595c5e9f2ce94,1,2018-08-02 12:54:20,2018-08-02 13:10:15,2018-08-03 15:04:00,2018-08-06 11:52:07,2018-08-25
663830a477534735bbdec9de01113fa2a,c1ddb7521d14db9071dccad0a94305c2,1,2018-08-15 12:37:12,2018-08-16 12:30:53,2018-08-16 14:33:00,2018-08-23 23:56:47,2018-09-13
b6b3633f97c686d8e188ac6fa29ff20da,8d3d362741da05c706eb55001bdfa1b9,1,2018-08-27 12:45:51,2018-08-27 13:04:20,2018-09-02 13:33:00,2018-09-06 17:20:53,2018-09-17
7c18eddfcd24680d80a502346221614ea,b7ee9b824b4a83b389379ac70585bf3b,1,2018-08-13 15:45:51,2018-08-13 16:04:02,2018-08-16 09:53:00,2018-08-24 20:16:30,2018-09-09
58d4c4747ee059eeeb865b349b41f53aa,1755fad7863475346bc6c3773fe055d3,1,2018-08-21 12:49:32,2018-08-26 23:31:53,2018-08-24 12:57:00,2018-08-25 23:58:19,2018-08-31
412fccb2b44a99b36714bca3fef8ad7ba,c6865c523687cb3f235aa599afef1710,1,2018-08-22 22:30:05,2018-08-23 12:31:53,2018-08-23 12:24:00,2018-08-24 19:26:42,2018-08-31
86e574a0701d15590bf31783bc7de5dca,cacade100f1ef4bb325438538d726a76,1,2018-08-12 20:24:07,2018-08-12 20:35:10,2018-08-17 10:32:00,2018-08-23 18:09:27,2018-08-27
6f954a919130aa1e8def4ed1b9fca432a,d929280e89af72c9509d90a5912adaa4,1,2018-08-28 18:21:00,2018-08-31 03:50:25,2018-08-31 11:13:00,2018-09-01 23:57:28,2018-09-02
5691d72069359cd293ac9a14f1bd5e9ba,a8f76d9cb0f8db57cbbfe8d67b257893,1,2018-08-23 10:21:28,2018-08-25 02:55:14,2018-08-25 13:19:00,2018-09-02 00:42:53,2018-09-14
