order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
000576fe39319847cbb9d288c5617fa6a,1,557d850972a7d6f792fd18ae1400d9b6,5996cddab893a4652a15592fb58ab8db,2018-08-10 12:30:45,810,70.75
0005f50442cb953dcd1d21e1fb923495a,1,4535b0e1091c278dfd193e5a1d63b39f,ba143b05f0110f0dc71ad71b4466ce92,2018-08-06 14:10:56,53.99,11.4
00063b381e2406b52ad429470734ebd5a,1,f177554ea93259a5b282f24e33f65ab6,8602a61d680a10a82cceeeda0d99ea3d,2018-08-31 17:30:39,45,12.98
0006ec9db01a64e59a68b2c340bf65a7a,1,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,2018-08-26 17:24:20,74,23.32
001ac194d4a326a6fa99b581e9a3d963a,1,dbaee28f4ee64465838a229582d77520,ffc470761de7d0232558ba5e786e57b7,2018-08-10 02:51:10,54,8.54
0025c5d1a8ca53a240ec2634bb4492eaa,1,35537536ed2b4c561b4018bf3abf54e0,955fee9216a65b617aa5c0531780ce60,2018-08-10 09:30:09,390,29.39
002834535f7a609a5c68266f173fa59ea,1,df3655ac9aa8c6cbfa63bdd8d3b09c50,ea8482cd71df3c1969d7b9473ff13abc,2018-08-26 17:44:36,37.99,19.18
002f16b7bc4530031b7d90f791b12d8aa,1,d54c5b81fc2b38707588dd4eddc7c594,0241d4d5d36f10f80c644447315af0bd,2018-08-04 17:11:12,249.9,34.23
003423b755b562962a6225a8de40d12ea,1,84904413b82eee333a3f79137e8d197e,23c38debaffe4a25a30fdbd9b586a13f,2018-08-18 04:25:09,232.75,28.58
0036757472ece3dde52fd4bfd929c90ea,1,4c1bbc12438daec98a77243c2bf7a3ba,7c67e1448b00f6e969d365cea6b010ab,2018-09-08 15:10:11,136.99,66.04
0039500db36d50d7d0bfaf23723550f3a,1,62984ea1bba7fcea1f5b57084d3bf885,c3cfdc648177fdbbbb35635a37472c53,2018-08-10 10:51:09,169.9,33.33
003edccf16bc5ec447f592913b3df2b4a,1,500870614ddcf5bd84f7d26861026c8a,ef506c96320abeedfb894c34db06f478,2018-08-12 10:15:21,14,50.85
004345d16a1ab2c21962992c721c8643a,1,d0fb1e667e989933a80444f93da833c0,0be8ff43f22e456b4e0371b2245e4d01,2018-08-10 07:31:33,37.9,15.37
004b62108b876867938746ad3154167fa,1,c589625c8ccc7bfd2e8f1fb041e24c4a,c70c1b0d8ca86052f45a432a38b73958,2018-08-10 05:31:03,110.32,8.03
00611822267e76e0055c25c18506f06ea,1,3d514fecadf6cef40a2a32a3c20cd1c8,23d7c96d4a1160db1c726b248601b25a,2018-09-03 13:50:14,159.9,20.31
0068fb0e223115e911d362627e8b8800a,1,e53e557d5a159f5aa2c5e995dfdf244b,88460e8ebdecbfecb5f9601833981930,2018-08-31 02:50:11,77.9,13.89
0096668e5b0b8e9657a6f7209a4e58b4a,1,55782cb82e0efe052da0a3da237da3b2,c003204e1ab016dfa150abc119207b24,2018-08-13 13:46:36,166.9,13.47
00995d799817ecc3bd2abd8fbe59c430a,1,f3b8bfa5b86249e75e5c0632acc0e82e,620c87c171fb2a6dd6e8bb4dec959fc6,2018-09-01 11:45:13,49.9,12.92
00a1e977cf6e672402963940db55d919a,1,4834f24983a4f056e5ae64265f723aaf,5656537e588803a555b8eb41f07a944b,2018-08-27 16:35:16,24.89,7.75
00a57dfbb049fbaae10763e2cf15f797a,1,56cdfe67fbda57c1dcc752f5f361f981,1c68394e931a64f90ea236c5ea590300,2018-08-26 03:25:11,89.9,22.56
00a57dfbb049fbaae10763e2cf15f797a,2,56cdfe67fbda57c1dcc752f5f361f981,1c68394e931a64f90ea236c5ea590300,2018-08-26 03:25:11,89.9,22.56
00a57dfbb049fbaae10763e2cf15f797a,3,56cdfe67fbda57c1dcc752f5f361f981,1c68394e931a64f90ea236c5ea590300,2018-08-26 03:25:11,89.9,22.56
